Date Time,WaterFlow
42300.01674,23.36959937
42300.02781,28.00288063
42300.0374,23.06589479
42300.03866,29.97280923
42300.05506,5.997953159
42300.05832,15.93522258
42300.07645,26.61733034
42300.08025,33.28289966
42300.08282,12.42669158
42300.11934,21.83349362
42300.12488,8.483646689
42300.13519,29.33690126
42300.13761,19.80914572
42300.14044,31.01974394
42300.15761,18.33996247
42300.16622,16.88852682
42300.17489,13.66431243
42300.19842,17.30007387
42300.21229,23.26098394
42300.21793,8.152496309
42300.2185,19.87562778
42300.21923,32.88649889
42300.22011,22.26036444
42300.23097,5.778368847
42300.2381,32.54555669
42300.23924,30.68774413
42300.24019,29.08090662
42300.25253,30.04778448
42300.26199,5.752455811
42300.27314,30.41416216
42300.27337,26.17571605
42300.27674,27.15530664
42300.27944,13.60594289
42300.28915,11.18456839
42300.29131,20.38305735
42300.31706,13.40533112
42300.33036,14.46109144
42300.33105,27.23467132
42300.34124,9.089497725
42300.35191,29.16238444
42300.37395,24.12321412
42300.37569,6.207443293
42300.38299,27.66692271
42300.39983,29.78189804
42300.41739,19.03546285
42300.42073,14.53905471
42300.44139,16.30482868
42300.46009,9.08959963
42300.46099,24.16047829
42300.48502,33.01343631
42300.50386,14.92475759
42300.52489,20.68846635
42300.53559,25.39630585
42300.56486,21.66180029
42300.56846,23.21409339
42300.57155,3.811188938
42300.58539,37.30005616
42300.58969,26.46850047
42300.59083,30.53222983
42300.60106,10.91088626
42300.6084,31.53455711
42300.61655,13.55252532
42300.63502,27.48579235
42300.65063,19.13678738
42300.65229,26.37121527
42300.6611,17.62375744
42300.66926,26.70458369
42300.67679,36.17246486
42300.69302,24.1530538
42300.69381,27.51091688
42300.69628,34.64272785
42300.6994,16.14460722
42300.72063,18.21085667
42300.72883,7.485977326
42300.72979,14.82155442
42300.75622,15.44633676
42300.76118,21.08489194
42300.76331,32.98534568
42300.78981,13.27024449
42300.81398,15.53171416
42300.83232,22.67887382
42300.83238,19.40460518
42300.84351,23.99674505
42300.84973,18.40948509
42300.85283,21.74939184
42300.85319,25.75967507
42300.8585,20.22586893
42300.86269,16.52397901
42300.8653,9.328123672
42300.86939,30.18602087
42300.91053,15.09251271
42300.92618,16.57679941
42300.92938,20.8019563
42300.96048,33.22043435
42300.9663,3.4689863
42300.97918,24.98025355
42301.00118,14.89908447
42301.00816,18.88271015
42301.01358,14.91766564
42301.02762,14.61135651
42301.03493,8.291781295
42301.04247,32.22485864
42301.04486,12.11603994
42301.04785,3.540229062
42301.05103,29.9550016
42301.05251,10.68547911
42301.05804,4.33385896
42301.06644,31.90673163
42301.06806,19.85855513
42301.09362,27.82364162
42301.10799,30.24320419
42301.12288,27.22487879
42301.13634,17.35962994
42301.1391,23.11463575
42301.14579,17.96861582
42301.15289,18.79754136
42301.15647,15.54347209
42301.1689,21.28969844
42301.17059,14.36819369
42301.17165,37.52910799
42301.17218,22.40386124
42301.17229,29.82571907
42301.1764,28.85701473
42301.18795,31.65555873
42301.23232,20.61872687
42301.24239,19.89530686
42301.27001,17.6671981
42301.28025,19.60454778
42301.28559,13.29233447
42301.30726,32.91656787
42301.32154,30.53094753
42301.32397,15.63031992
42301.32645,36.0948512
42301.33007,14.727994
42301.33978,35.61523011
42301.34273,3.374229822
42301.34871,28.99439311
42301.35425,8.709073328
42301.35866,12.16612856
42301.37218,25.88077164
42301.37441,15.91464812
42301.37768,35.387907
42301.38511,32.58866164
42301.39108,9.715206067
42301.3973,19.99090213
42301.40514,35.7389279
42301.41702,12.30226658
42301.41872,17.44070859
42301.4257,8.191573693
42301.43945,5.744445635
42301.44686,5.611852602
42301.49174,13.57364068
42301.50974,8.347535501
42301.51239,5.136541564
42301.5172,20.70956401
42301.52548,7.565246328
42301.53669,29.6240845
42301.54195,29.71312061
42301.55013,18.4567765
42301.55828,11.26464817
42301.57664,12.52469172
42301.57666,13.84715039
42301.62017,11.84476133
42301.65449,13.68862467
42301.66798,14.01454824
42301.67493,19.48763977
42301.68697,13.49367058
42301.68828,30.57302512
42301.69705,30.07013257
42301.69806,23.00135888
42301.69905,15.64068141
42301.70463,15.54125517
42301.71987,13.01038235
42301.72333,21.03433121
42301.72896,10.53389108
42301.73122,16.16342495
42301.73198,9.205655885
42301.73948,21.88013996
42301.75167,21.0990172
42301.75589,23.83843095
42301.75631,13.84071749
42301.78012,13.50042027
42301.78666,9.027780074
42301.7938,25.10609165
