Date Time,WaterFlow
42300.04167,18.81079113
42300.08333,43.08702541
42300.125,37.98770481
42300.16667,36.12037885
42300.20833,31.85125881
42300.25,28.23808985
42300.29167,9.863582048
42300.33333,26.67961027
42300.375,55.77378514
42300.41667,54.15688889
42300.45833,68.37490356
42300.5,55.71035896
42300.54167,56.96826041
42300.58333,17.20627644
42300.625,35.0932747
42300.66667,44.42492838
42300.70833,57.32240773
42300.75,37.34492448
42300.79167,11.48301131
42300.83333,32.11794004
42300.875,49.08186105
42300.91667,49.13354627
42300.95833,42.06464798
42301,58.38002659
42301.04167,53.40803073
42301.08333,42.33277498
42301.125,45.92218953
42301.16667,32.74121535
42301.20833,47.87925146
42301.25,47.46051578
42301.29167,52.26496626
42301.33333,35.38958203
42301.375,14.43557793
42301.41667,45.0381785
42301.45833,38.89659175
42301.5,39.99183321
42301.54167,56.88359454
42301.58333,62.72866006
42301.625,67.38248408
42301.66667,29.64510828
42301.70833,51.58666794
42301.75,61.98710337
42301.79167,46.39457149
42301.83333,32.83867346
42301.875,53.41655365
42301.91667,70.72367672
42301.95833,21.57084729
42302,66.76210753
42302.04167,36.32212332
42302.08333,45.11434145
42302.125,53.47356233
42302.16667,27.20934104
42302.20833,44.19370327
42302.25,59.29690989
42302.29167,42.25349618
42302.33333,44.74797024
42302.375,50.18250215
42302.41667,32.3033804
42302.45833,44.41369715
42302.5,42.8445562
42302.54167,56.28262765
42302.58333,54.93695763
42302.625,20.40651045
42302.66667,60.95445904
42302.70833,55.81176683
42302.75,68.00801168
42302.79167,20.96475442
42302.83333,50.1122917
42302.875,24.17280842
42302.91667,17.13159987
42302.95833,41.93831049
42303,70.37663556
42303.04167,34.38761657
42303.08333,30.37766266
42303.125,41.56719221
42303.16667,72.17288092
42303.20833,45.74572888
42303.25,42.29414578
42303.29167,28.88316436
42303.33333,55.50656577
42303.375,19.22859916
42303.41667,39.45491278
42303.45833,28.5218483
42303.5,22.61461495
42303.54167,8.513214478
42303.58333,38.22836508
42303.625,23.38817169
42303.66667,59.5463346
42303.70833,20.34273927
42303.75,40.19857305
42303.79167,42.63642934
42303.83333,40.25058423
42303.875,33.60356395
42303.91667,33.92116465
42303.95833,6.57483831
42304,68.45138402
42304.04167,14.72222254
42304.08333,40.88520081
42304.125,37.43223186
42304.16667,22.4499027
42304.20833,49.81346052
42304.25,38.93056781
42304.29167,22.18358092
42304.33333,17.15638523
42304.375,55.68381437
42304.41667,4.681630264
42304.45833,30.99891918
42304.5,11.13684156
42304.54167,30.65098694
42304.58333,56.68809795
42304.625,32.44549185
42304.66667,41.24240513
42304.70833,44.38074874
42304.75,55.34337265
42304.79167,14.1753749
42304.83333,51.63605587
42304.875,49.03873843
42304.91667,33.51547782
42304.95833,35.47994363
42305,54.75365701
42305.04167,42.30813997
42305.08333,30.65044824
42305.125,38.95135259
42305.16667,23.33051651
42305.20833,26.13071582
